STATE,DATE,TAVG,TMAX,PRCP,RH,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
TX,2006-01-01,16.434375,24.901113585746103,0.0366917293233082,55.58695796717336,7.958035714285714,53.0,14.0,1.0,0.0,0.0,0.0,2.0,37.0,0.0,0.0,5.0,21.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-02,16.109429824561403,25.33114035087719,0.0438914027149321,37.89803902193268,6.887719298245615,29.0,10.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-03,15.218297872340427,25.8036170212766,0.0118796992481203,38.17915377040704,4.631422505307856,16.0,9.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-04,16.154439746300213,25.83333333333333,0.0045112781954887,44.78605439255415,6.482029598308668,39.0,22.0,4.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-05,12.174574468085106,20.407855626326963,0.0007518796992481,41.535136478562926,3.955626326963906,6.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-06,9.514810924369748,18.102941176470587,0.0019548872180451,32.70526255997219,0.9266806722689076,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TX,2006-01-07,11.192094017094016,21.38568376068376,0.0004524886877828,30.99064653157214,0.9985042735042736,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-08,15.11896551724138,25.10258620689656,0.0007518796992481,34.22728691784792,5.135344827586208,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-09,14.66553911205074,23.5985200845666,0.0710843373493975,55.08272295808705,5.732558139534884,46.0,9.0,10.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,14.0,1.0,0.0,7.0,0.0,4.0,0.0,1.0,1.0
TX,2006-01-10,9.837945492662474,18.79077568134172,0.8757942511346445,54.642086423660565,0.8851153039832285,13.0,1.0,19.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-11,8.854697286012525,18.41169102296451,0.0463157894736842,45.12185589891995,-0.7022964509394571,14.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-12,13.291022964509391,22.769311064718163,0.0244744744744744,56.68586945388434,3.812734864300626,35.0,7.0,11.0,0.0,1.0,0.0,2.0,14.0,0.0,0.0,3.0,10.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-13,12.435729166666668,21.3325,0.37821482602118,44.09187113505592,3.538958333333333,21.0,4.0,6.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
TX,2006-01-14,8.482371794871796,17.89380341880342,0.0007530120481927,32.9528105157535,-0.9290598290598292,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
TX,2006-01-15,11.659032258064515,19.89032258064516,0.0186746987951807,39.84430341933249,3.427741935483871,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
