STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
TX,2011-01-01,0.0887147335423197,43.055359336002,0.2787878787878788,14.641431670281996,7.46648590021692,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-02,0.0010292953285827,48.734669490015655,-4.2997840172786175,11.704094827586207,3.684773218142548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-03,0.0305384615384615,55.28764942572311,-2.0044967880085656,13.994444444444444,5.983832976445396,2.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-04,0.2873867069486405,73.14255689042525,2.902345415778252,16.637953091684434,9.78215811965812,56.0,13.0,11.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,21.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0
TX,2011-01-05,2.6060975609756096,65.74917097458965,3.797251585623679,17.520295983086683,10.65877378435518,55.0,17.0,3.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,20.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-06,0.075,49.319958208879264,0.5481953290870488,18.483050847457623,9.517659574468086,10.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-07,0.0136363636363636,49.88037075489729,1.1120430107526882,19.09785407725322,10.105806451612905,13.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-08,0.6233695652173913,53.3121994628503,1.477922077922078,18.861853448275863,10.157792207792207,12.0,3.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-09,21.0666001330672,69.5754693438579,1.660259179265659,15.061123110151188,8.360691144708424,64.0,12.0,42.0,4.0,3.0,2.0,0.0,6.0,0.0,0.0,3.0,27.0,3.0,0.0,29.0,0.0,6.0,0.0,0.0,0.0
TX,2011-01-10,4.234973504920514,85.13148397369382,0.5142548596112311,10.67247311827957,5.565442764578834,103.0,8.0,2.0,10.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,29.0,9.0,4.0,6.0,2.0,7.0,4.0,0.0,3.0
TX,2011-01-11,0.2832831325301205,69.29042270142672,-3.882795698924731,6.697624190064795,1.4002159827213825,19.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-12,0.0468217054263565,56.33177106137443,-5.014038876889849,4.6435344827586205,-0.1832613390928726,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
TX,2011-01-13,0.0244478293983244,54.85551218310465,-3.7982978723404255,4.540254237288136,0.3646808510638297,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0
TX,2011-01-14,0.2352307692307692,65.83411289045212,-1.8117521367521368,8.949680170575693,3.5696581196581194,41.0,2.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,17.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,2.0
TX,2011-01-15,5.170487106017192,82.43784301684735,2.207608695652174,12.33390928725702,7.266993464052288,74.0,7.0,1.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,29.0,4.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-16,15.227694503925768,87.35522869715514,4.136909871244635,13.48311965811966,8.797210300429185,80.0,25.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,31.0,5.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0
TX,2011-01-17,4.494752623688156,83.01059733267677,3.9414012738853503,15.006369426751592,9.47388535031847,94.0,24.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,33.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0
TX,2011-01-18,0.3437357630979499,78.12408987999362,4.840000000000001,18.458811040339704,11.653723404255318,81.0,20.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,30.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-19,0.1419354838709677,74.32360766614191,2.50595744680851,17.906170212765957,10.206063829787237,68.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
TX,2011-01-20,0.1878306878306878,78.41323350285391,0.3345415778251599,16.65468085106383,8.49221748400853,76.0,9.0,0.0,0.0,0.0,1.0,1.0,30.0,0.0,0.0,2.0,23.0,4.0,0.0,24.0,4.0,6.0,1.0,0.0,1.0
TX,2011-01-21,0.1838808250572956,63.91419812004501,-4.762605042016807,10.497268907563026,2.867331932773109,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-22,0.0221003134796238,57.38657243111042,-4.058119658119658,13.79380341880342,4.867841880341881,12.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-23,0.275748031496063,64.9362383987911,-0.6023504273504273,16.348723404255317,7.867735042735043,28.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-24,2.245243445692884,68.37514406961006,-0.3561702127659574,14.167161016949152,6.905531914893617,39.0,1.0,3.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,13.0,3.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0
TX,2011-01-25,2.259186746987952,63.54632052389423,-0.6148936170212767,14.007430997876858,6.692872340425532,25.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,6.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0
TX,2011-01-26,0.03296875,57.07339359422801,-2.763888888888889,13.83262260127932,5.534294871794872,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-27,0.002020202020202,52.05192678792771,-1.7674518201284797,16.23063829787234,7.233083511777302,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-28,0.0021671826625386,46.69161237261859,0.4108510638297872,19.984957627118643,10.200212765957447,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2011-01-29,0.0210110584518167,56.552359537482566,3.428051391862956,22.622698072805136,13.025374732334049,9.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
